city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hithadhoo,2,MV,1563064523,75,-0.6,73.08,83.57,11.61
Bethel,90,US,1563064523,63,60.79,-161.76,64.4,4.7
Saskylakh,0,RU,1563063964,47,71.97,114.09,55.13,10.02
Mataura,99,NZ,1563063945,95,-46.19,168.86,45.0,11.01
Port,72,CD,1563063946,61,-7.04,29.76,63.05,3.53
Rikitea,0,PF,1563064524,83,-23.12,-134.97,75.29,12.66
Provideniya,0,RU,1563064252,60,64.42,-173.23,63.41,7.07
Nazareth,0,IL,1563064524,82,32.71,35.3,73.99,7.43
Cape,14,CL,1563064217,93,-36.41,-71.9,48.2,2.24
Baruun-Urt,28,MN,1563064524,40,46.68,113.28,74.75,4.16
Busselton,0,AU,1563064525,72,-33.64,115.35,46.99,19.66
Kavieng,53,PG,1563064225,75,-2.57,150.8,82.85,8.9
Qaanaaq,93,GL,1563064220,63,77.48,-69.36,43.79,9.26
Ushuaia,75,AR,1563063942,75,-54.81,-68.31,41.0,13.87
Kirakira,100,SB,1563064525,81,-10.46,161.92,81.41,8.95
Upernavik,72,GL,1563064525,80,72.79,-56.15,46.85,9.44
Yunyang,0,CN,1563064525,42,32.84,110.81,84.0,11.01
Puerto,90,AR,1563064235,100,-51.62,-69.23,33.8,4.7
Necochea,0,AR,1563064526,90,-38.55,-58.74,42.01,2.8
Bur,0,FI,1563064526,100,63.56,22.87,53.01,1.12
Avarua,90,CK,1563064339,73,-21.21,-159.78,71.6,8.05
Cartagena,0,ES,1563064526,83,37.63,-1.0,78.01,0.63
Maposeni,0,TZ,1563064526,83,-10.58,35.4,55.85,2.89
Hobart,75,AU,1563064203,70,-42.88,147.33,48.99,6.93
Vila,0,IT,1563064219,60,45.18,8.4,75.2,9.17
Kodiak,1,US,1563064527,17,39.95,-94.76,91.4,2.15
Kudahuvadhoo,56,MV,1563064527,74,2.67,72.89,83.57,9.51
Leeuwarden,90,NL,1563064527,82,53.2,5.79,59.0,10.29
Bredasdorp,0,ZA,1563064214,93,-34.53,20.04,48.0,3.76
Chokurdakh,96,RU,1563064528,55,70.62,147.9,52.61,3.58
Yellowknife,75,CA,1563064528,51,62.45,-114.38,60.8,11.41
Moerai,50,PF,1563064528,76,-22.43,-151.33,71.87,4.85
Thompson,90,CA,1563063969,68,55.74,-97.86,68.0,11.41
Waipawa,69,NZ,1563064528,88,-39.94,176.59,50.0,8.01
Trairi,12,BR,1563064529,95,-3.28,-39.27,70.43,4.07
Mar,98,CN,1563064216,89,29.86,90.73,40.73,4.99
Bluff,45,AU,1563064218,37,-23.58,149.07,56.93,9.69
Avera,90,US,1563064171,83,33.19,-82.53,87.8,4.7
Helsinki,0,FI,1563064481,87,60.17,24.94,55.0,5.82
Gold,1,US,1563064529,74,35.79,-81.76,81.0,6.93
Punta,40,PH,1563064214,79,14.18,121.12,84.99,1.28
Atuona,31,PF,1563064210,77,-9.8,-139.03,80.69,19.39
Jabinyanah,0,TN,1563064530,65,35.03,10.91,82.4,5.12
Bambous,75,MU,1563064260,56,-20.26,57.41,71.6,6.93
Salalah,90,OM,1563064530,94,17.01,54.1,78.8,8.05
Hilo,75,US,1563063988,58,19.71,-155.08,84.2,9.17
Arraial,0,BR,1563064531,63,-22.84,-46.65,64.4,8.05
Albany,1,US,1563064514,57,42.65,-73.75,81.0,3.36
Noyabrsk,11,RU,1563064324,58,63.2,75.45,61.97,9.84
Ilabaya,0,PE,1563064531,89,-17.42,-70.51,49.19,2.26
Vershino-Darasunskiy,0,RU,1563064531,61,52.35,115.52,64.49,4.79
Kapaa,40,US,1563064526,70,22.08,-159.32,84.2,13.87
Khatanga,0,RU,1563064233,53,71.98,102.47,53.69,7.7
Nizhniy,0,RU,1563064532,93,45.39,39.24,61.0,4.47
Port,72,CD,1563064532,61,-7.04,29.76,63.05,3.53
Ust-Tsilma,78,RU,1563064532,76,65.44,52.15,53.33,3.24
Mount,75,GB,1563064532,100,53.66,-1.85,60.01,5.82
Pauini,36,BR,1563064533,75,-7.71,-67.0,76.55,2.53
Esperance,40,AU,1563064318,93,-33.86,121.89,44.6,6.93
Goundam,0,ML,1563064533,47,16.42,-3.66,87.71,18.25
New,40,LR,1563064220,94,6.65,-10.59,75.2,10.25
Kropotkin,0,RU,1563064533,91,45.43,40.58,57.65,5.48
Faanui,29,PF,1563064249,76,-16.48,-151.75,78.53,4.85
Bisira,100,PA,1563064533,93,8.52,-81.71,71.69,3.62
Broome,5,GB,1563064534,87,52.47,1.45,60.01,2.24
